hip,ra,dec,plx,e_plx,pmra,pmdec,b_v,vmag,btmag,vtmag
774,2.38423018,-40.64947224,1.78,1.37,35.64,11.46,1.029,9.17,10.471,9.269
775,2.39204187,-66.02972893,4.57,0.82,2.3,-26.4,1.068,8.08,9.451,8.199
776,2.39552418,-46.37507382,3.03,1.5,8.32,-27.82,0.524,9.8,10.316,9.819
777,2.3967474,-21.38186598,8.17,1.89,-8.94,1.65,0.499,8.92,9.514,8.992
778,2.40120624,-51.73705907,4.45,1.34,17.76,-7.36,0.355,9.91,10.291,9.927
779,2.40151993,62.66781255,4.76,2.01,-2.5,2.02,1.565,9.42,11.555,9.712
780,2.40182077,26.68206689,2.91,1.13,-12.86,-14.4,1.128,8.84,10.304,8.975
781,2.40219061,51.56692488,1.4,2.33,4.81,-6.45,1.5,10.15,,
782,2.41376549,-56.19178561,3.25,1.5,64.24,-15.35,0.952,8.37,9.573,8.469
783,2.41558741,-32.07892872,-0.54,1.36,2.19,-0.72,1.63,9.33,11.435,9.469
784,2.421914,57.25958655,0.55,1.21,3.71,-1.36,0.075,9.35,9.442,9.366
785,2.42218904,-63.58967752,4.31,0.7,16.63,-45.89,1.571,7.4,9.455,7.604
846,2.59569702,-13.98412856,13.53,1.28,180.98,71.53,0.578,8.92,9.657,9.027
786,2.42337039,-37.31481117,6.9,1.41,-50.81,-23.66,0.437,8.35,8.868,8.402
787,2.43155816,-31.82493921,23.86,1.59,404.05,-232.85,0.965,9.53,10.831,9.619
788,2.43212812,-3.67851928,6.24,1.42,-30.02,42.56,0.469,9.59,10.126,9.596
789,2.44298188,36.47378127,0.16,1.39,-22.3,-9.71,0.486,10.05,10.618,10.101
791,2.45189211,-40.8926432,13.92,1.11,135.91,-119.62,0.644,8.57,9.337,8.622
790,2.45190918,19.38130034,5.62,1.04,53.22,-54.95,0.56,8.48,9.176,8.576
792,2.45274609,-6.84116094,12.54,1.23,57.31,-20.57,0.906,8.43,9.556,8.513
